kills,total_drops,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
545,116,6,2,5,4,3,3,5,7,5,1,2,4,6,2,7,6,2,6,2,4,3,3,4,4,6,8,1,5
560,119,2,6,3,3,3,6,10,4,1,1,7,3,4,3,5,3,6,4,7,6,5,5,4,3,8,4,2,1
395,92,1,2,5,4,4,5,7,3,1,6,5,3,4,3,2,4,2,1,3,5,1,4,1,3,6,2,3,2
457,85,3,4,1,1,5,2,3,1,4,2,1,3,1,5,6,6,1,2,3,1,1,10,3,4,1,2,4,5
496,106,8,3,3,1,2,2,3,4,7,3,4,4,4,6,1,7,5,3,10,2,1,1,4,1,3,4,7,3
503,107,9,6,5,6,3,1,2,4,3,4,6,1,5,5,4,3,1,5,5,1,4,4,2,3,2,6,3,4
560,133,4,10,5,7,2,5,5,1,4,4,4,5,3,3,10,2,4,2,1,7,7,6,5,5,8,3,6,5
488,90,2,2,4,5,7,7,4,1,2,2,1,1,3,2,4,2,2,3,5,4,2,4,1,4,5,4,3,4
437,86,2,6,1,4,3,2,3,1,6,2,3,3,1,4,4,3,1,6,2,3,5,1,3,3,4,3,4,3
1233,240,7,10,7,12,15,12,10,8,7,9,13,6,6,8,9,5,10,10,12,5,9,1,7,5,8,12,11,6
408,88,2,7,3,3,4,3,5,2,1,1,3,2,8,5,2,3,2,1,4,1,4,3,3,5,3,4,1,3
597,135,6,8,1,6,3,2,7,7,5,5,2,9,5,5,8,7,2,7,7,5,2,6,3,3,2,2,1,9
352,67,3,2,1,5,1,2,2,2,3,2,3,4,2,1,3,3,3,1,2,2,1,2,1,5,5,1,2,3
499,109,6,5,5,5,7,6,1,2,4,2,5,5,1,6,4,4,4,4,1,4,1,3,5,5,6,2,3,3
401,79,3,3,1,1,3,3,2,2,6,2,3,4,2,5,2,1,2,4,3,4,2,4,2,1,3,3,5,3
